Sr No.,Buyer Name,Total Credits Retired
1, GS1340 Efficient cookstoves in Burkina Faso - VPA-15 - Improved Cookstove F3PA project in Nahouri,20391
2,Anemon Intepe Wind Farm Turkey,358223
3,Bagepalli CDM Biogas Programme,1000
4,Burgaz Wind Farm Project Turkey,190687
5,Fujian Zhangpu Liuao 45MW Wind Power Project_preCDM VERs,24608
6,Honiton Energy Bailingmiao Phase One Windfarm Project,201491
7,Huadian Ningxia Ningdong Yangjiayao 45MW Wind-farm Project preCDM VERs,22823
8,Improved Household Charcoal Stoves in Ghana,1520585
9,Improved Household Charcoal Stoves in Mali,971815
10,Keltepe Wind Farm Project  Turkey,120972
11,Mamak Landfill Waste Management Project  Turkey,3192998
12,Mare Manastir Wind Farm Turkey,493955
13,Ningxia Yinyi 49.50MW Wind-farm Project_preCDM VERs,41068
14,PRE_CDM VER Tonk Biomass Project India,37672
15,Project White Hill,31717
16,Proyecto Mirador enhanced distribution of efficient woodstoves,242382
17,Rotor Elektrik Uretim Osmaniye Wind Farm,1811062
18,Salido Kecil Mini Hydropower Plant,22052
19,Sayalar Wind Farm Turkey,372850
20,SolarAid Microsolar Lanterns Project for Malawi,35
21,Suzhou Qizi Mountain Landfill Gas Recovery Project (300259),1430488
22,Te Apiti Wind Farm,604928
23,WWF Nepal Gold Standard Biogas Voluntary Emission Reduction (VER) Project,681255
24,Zengamina Mini Hydro Scheme- Zambia,3481
25,0.75 MW Kerala Wind Power Project,4864
26,100 MW Solar Power plant in Maharashtra,98484
27,100 MW Wind Power Project in Andhra Pradesh by OAWPPL,658579
28,100.5 MW Wind Power Project in Madhya Pradesh India,1070924
29,100.8 MW Wind Power Project in Beluguppa Andhra Pradesh,686411
30,10MW Anorchi Lanka (Baruthankanda) Solar Power Project (2018-SOP-003-10.0MW) ,14789
31,10MW Iris (Baruthankanda) Solar Power Project (2018-SOP-004-10.0MW) ,5153
32,10MW Nedunkulam Solar PV Project (2018-SOP-002-10.0MW) ,26763
33,10MW Solar One Ceylon (Pudukadumalai) Solar Power Project (2018-SOP-001-10.0MW) ,28632
34,11.35 MW bundled renewable energy based power generation by Interocean Group,7123
35,120 MW Solar PV Plant by Juniper Green Sigma Private Ltd. in Gujarat,183872
36,14.7 MW Bundled Wind Power Project in the state of Maharashtra and Rajasthan India,42224
37,14.70 MW Wind Power Project at Jath Maharashtra,25694
38,150 MW Solar PV Plant by Juniper Green Field Pvt. Ltd. in Maharashtra,50880
39,16.7 MW HAMZALI Hydroelectric Power Plant,329624
40,180 MW Renewable Energy Project by Greenko Group ,170932
41,19.2 MWp Solar Power Project by HZL at Debari and Dariba Rajasthan,17354
42,20 MW Biomass Power Project at Godawari Power and Ispat Limited Chhattisgarh,689187
43,20 MW Solar Project in Sanwreej Jodhpur Rajasthan,10000
44,20 MW Solar Project in Sanwreej Jodhpur Rajasthan- Pre CDM Clone,50793
45,200 MW Wind Power Project in Tamil Nadu by Orange Sironj,1135115
46,200 MW solar power project in India by SB Energy.,464908
47,21 MW Wind Energy Project by Shree Cement Limited,122323
48,21 MW Wind energy farm at Palladam TamilNadu by HZL,26633
49,22.5 MW Wind Power Project in Rajasthan India,227268
50,25.5 MW Wind Energy Farm at Nandurbar Maharashtra by HZL,114033
51,250 MW Solar PV Plant at Bhainsada Rajasthan,202428
52,250 MW Solar Power Plant in Pavagada Solar Park in Karnataka,279920
53,252 MW Wind Energy Project by Green Infra Wind Energy Limited,418120
54,27 MWp Solar PV Project by MH Technique Solaire India Private Limited,39891
55,27.3 MW Wind energy farm at Mokla Rajasthan by HZL,91942
56,2x50 MW Orange Suvaan Solar Photovoltaic Power Project in Maharashtra India,489154
57,30 MW Solar PV Project by Nirosha Solar Power Private Limited,175319
58,30 MW Wind Energy Project by Giriraj Enterprises,98751
59,300 MW Solar PV Plant at Bhadla Rajasthan,975348
60,300 MW Wind Energy Project by Green Infra Wind Energy Limited,1297557
61,300 MW Wind Power Project in Gujarat by Alfanar Power ,182122
62,34 MW Wind Power Project at Khanapur Sangli Maharashtra India,212567
63,40 MW Orange Charanka Solar Power Project in Gujarat India,268714
64,40 MW Wind Power Project at Maliya Gujarat,393545
65,400 MW Solar Power Project at Bhadla Rajasthan,1842057
66,42 MW Amasya Wind Power Project,214701
67,42 MWp Bundled Solar Photovoltaic Power project in Indonesia,85939
68,49.5 MW Sachal Wind Power Project Jhampir,53447
69,50 MW Solar Power Project by Mytrah Energy India Private Limited,76
70,50.6 MW Wind Energy Project by Powerica Limited,274581
71,50.6 MW Wind Power Project at Umrali Gujarat by Powerica Limited ,122819
72,52.50 MW Wind energy farm at Mokla Rajasthan by HZL,30116
73,5MW Solar PV Power Plant by AEPL,16491
74,6 MW Solar Power Project by Arhyama Solar Power,8514
75,60 MW Bandirma Wind Power Plant Project,374875
76,70 MW Bhadla Solar power plant by Fortum Finnsurya Energy Pvt Ltd (EKIESL-CDM-APRIL 16-01),169354
77,72 MW Wind power project in the South Sulawesi Province of Indonesia,257700
78,81MW Caparispisan Wind Energy Project,382669
79,9.5 MW wind energy based power generation by Interocean Group,28380
80,ACP Sustainable Forest Cover Establishment Project ,14495
81,ADES Solar and efficient stoves in Madagascar,2429428
82,AMI Khanh Hoa Solar Project,86126
83,ARALIK HEPP ,73724
84,AY-YILDIZ 15 MW WPP,150058
85,Aberdares Improved Cook Stoves,89692
86,Accion Fraterna Biogas CDM project for rural communities in Anantapur Andhra Pradesh,13651
87,Adana Landfill Waste Management Project Turkey,672705
88,Adavikanda Kuruwita Division Mini Hydro Power Project,7401
89,Adilabad biogas project,118886
90,Afforestation on the Big Island of Hawaii: Restoring native hardwood forests and enhancing multiple ecosystem services ,800
91,African Biogas Carbon Programme (ABC) - Kenya - VPA001,93546
92,African Biogas Carbon Programme (ABC) - Kenya - VPA006,47846
93,African Biogas Carbon Programme (ABC) - Tanzania - CAMARTEC - VPA002,142010
94,African Biogas Carbon Programme (ABC) - Uganda - VPA003,124243
95,Airres-4 WPP,206890
96,Akbuk Wind Farm Project Turkey,297662
97,Akbuk Wind Power Plant,136051
98,Akres Wind Power ProjectTurkey,52171
99,Aksu Wind Farm Project Turkey,413303
100,Aliaga Wind Farm,442814
101,Aliaga Wind Power Project,47547
102,Alize Camseki 20.8 MW Wind Farm Project Turkey (300209)  ,177511
103,Amayo 40 MW Wind Power Project â Nicaragua,104739
104,Amayo 40 MW Wind Power Project-Nicaragua - Pre CDM VERs,11335
105,Amayo Phase II Wind Power Project,72367
106,Antai Group Waste Gas Recovery for Power Generation Project (300303),1533140
107,Application of advanced hull coatings to reduce shipping fuel consumption VPA #1,157314
108,Aqua Clara Safe Water Program,8610
109,Aqua Clara Water Filtration Program in Kenya,238335
110,ArBolivia- Phase II ,215438
111,Arakalagudu Biodigester Project II,16684
112,Australian Yarra Yarra Biodiversity Project,183461
113,Avoidance of Methane Emissions at Organic Compost Soil Amendment Facility,5258
114,Avoided methane emission through aerobic composting at Vietstar municipal solid waste treatment facility,141045
115,BAGARASI WPP,96406
116,BIM Solar Farm,940585
117,BMT Solar Farm,39939
118,Bac Lieu Province Wind Power Plant,44780
119,Bagepalli CDM Reforestation Programme ,50208
120,Balabanli Wind Power Plant,523059
121,Balikesir 142.5 MW Wind Power Plant Project,1459260
122,Balikesir Susurluk 45 MW Wind Farm Project,251205
123,Balsas Renewable Energy Project,19243
124,Bamako Clean Cookstoves - Improving livelihoods and fighting desertification in the Sahel zone,229903
125,Bandirma-3 WPP,311536
126,Bangna Starch Wastewater Treatment and Biogas Utilization Project (300084),52250
127,Bangna Starch Wastewater Treatment and Biogas Utilization Project (300084) (GS565 CER to VER conversion),8000
128,Bangna Starch Wastewater Treatment and Biogas Utilization Project (300084)_pre-CDM VER,22570
129,Baragran Hydro Electric Project 3.0 MW (being expanded to 4.9 MW),15916
130,Bares II Wind Power Plant Turkey ,187408
131,Barroso 20MW hydroelectric project,27065
132,BaumInvest Reforestation Project ,152214
133,Belen Wind Power Plant,698276
134,Believe Green Safe Drinking Water â Spring Health-2,14554
135,Believe Green Spring Health Tankol Safe Drinking Water,49325
136,Bergres Wind Power Project,544625
137,Betulia Hydroelectric project,27658
138,Bhesada Wind Power Project in Rajasthan,202074
139,Biodigestor Program in the State of Kerala by  INSEDA and SDA,87651
140,Biogas CDM Project of Bagepalli Coolie Sangha,35682
141,Biogas Program for the Animal Husbandry Sector of Vietnam,2885346
142,Biogas Support Program â Nepal Activity-3,63922
143,Biogas Support Program â Nepal Activity-4,38396
144,Biogas Tanks in Guizhou Province in China,12156
145,Biogas project Uttarakhand India,73619
146,Biomass Briquette Based Earth Stove Project,901
147,Biomass based Steam Generation plant at Chanakya Dairy Products Limited,64162
148,Biomass based power project of VPL,139018
149,Blue Fire Bio wastewater treatment and biogas utilization project (300147)_pre-CDM VER,16813
150,Bolu Landfill Gas to Energy Project Turkey,29435
151,Boreas-1 Enez Wind Power Plant,170403
152,Brickstar Wood Stove - Mahlaba Area,4061
153,Buenos Aires Renewable Energy Project,86342
154,Bulam 7MW HEPP,55756
155,Bundled 9.00 MW wind power Generation project in Rajasthan India by M/s. Gangadhar Narsingdas Agrawal Group,11860
156,Bundled Solar Project 1 by Aditya Birla Group of Companies,290535
157,Bundled Solar Project 2 by Aditya Birla Group of Companies,6286
158,Bundled Wind Power Project by Woodside Fashions Limited & Group (EKIESL-CDM.June-16-01),39065
159,Bundled household biogas plants project in Jammu and Punjab ,13
160,Bundling of household biogas plants for thermal energy applications,15942
161,Burn Stoves Project in Kenya,1951123
162,Bursa-Hamitler Landfill Gas Collection and Energy Utilization Project,237302
163,CAMLICA II HEPP,119973
164,CANTA WPP,3245
165,CECIC HKC Danjinghe Wind Farm Project,243738
166,CECIC HKC Danjinghe Wind Farm Project (GS6753 CER to VER Conversion),19434
