Sr no.,Developer Name,Website URL,Main Project Types,Associated Projects,Total Credits Issued,Total Credits Retired,Total Credits Remaining
1,Impact Carbon,,,,12352193,,
2,South Pole Carbon Asset Management Ltd.,,,,9096937,,
3,CO2balance UK ltd,,,,7246280,,
4,YeÅil Global Enerji A.S,,,,7128185,,
5,Orange Renewable Power Pvt Ltd,,,,6237575,,
6,myclimate Foundation,,,,5025949,,
7,Relief International,,,,4743670,,
8,Cagla Balci Eris,,,,4655763,,
9,ITC Invest Trading & Consulting AG Ankara Branch,,,,4560862,,
10,Vestergaard Frandsen Group SA,,,,4446960,,
11,Profit Carbon Environmental Energy Technology (Shanghai) Co. Ltd.,,,,3696679,,
12,The Biogas Project Management Unit,,,,2885346,,
13,Swiss Carbon Value Ltd.,,,,2866187,,
14,Soma Enerji Elektrik Uretim AS,,,,2665535,,
15,Innores Elektrik Uretim A.S.,,,,2640116,,
16,Adani Green Energy Limited,,,,2306965,,
17,ECOA Climate Capital,,,,2224321,,
18,Enerjisa Enerji Uretim A.S.,,,,2223420,,
19,Consorcio Santa Marta S.A.,,,,2149666,,
20,MICROSOL SAS,,,,2114401,,
21,Proyecto Mirador,,,,2105884,,
22,Envirofit International Ltd.,,,,2080114,,
23,Toyola Energy Services Limited,,,,2068353,,
24,Wind World (India) Limited,,,,2038838,,
25,ForestFinance GSF,,,,1952337,,
26,UpEnergy Group,,,,1946296,,
27,Fiba Yenilenebilir Enerji Holding A.Å,,,,1915931,,
28,BORUSAN ENBW ENERJI YATIRIMLARI VE ÃRETIM A.S.,,,,1865601,,
29,Man and Man Enterprise,,,,1817101,,
30,Ãzlen PÄ±nar Toprak,,,,1811062,,
