ID,Name,Proponent,Project Type,AFOLU Activities,Methodology,Status,Country/Area,Estimated Annual Emission Reductions,Region,Crediting Period Start Date,Crediting Period End Date
5214,Pingjiang County Domestic Waste Harmless Landfill Site LFG Utilization Project,"Henan BCCY Environmental Energy CO.,LTD.",Energy industries (renewable/non-renewable sources); Waste handling and disposal,,ACM0001,Under validation,China,60882,,21-03-2023,20-03-2033
5210,Panzhou County Chicken Farm Manure Composting Project,"Guizhou Hanwei Egg Industry Co., Ltd.","Livestock, enteric fermentation, and manure management; Waste handling and disposal",,AMS-III.F.,Under validation,China,35865,,05-01-2023,04-01-2033
5208,Small Scale LED Lighting Grouped Project in South Africa,Energy LED (Pty) Ltd,Energy demand,,AMS-II.C.,Under validation,South Africa,7583,Africa,01-12-2022,30-11-2032
5203,"Luoding BCCY New Power CO., Ltd. MSW biogas to electricity generation project","Henan BCCY Environmental Energy CO.,LTD.",Energy industries (renewable/non-renewable sources); Waste handling and disposal,,ACM0001,Under validation,China,44555,Asia,28-12-2022,27-12-2032
5205,"Agroforestry for Enhancing the Smallholders’ Livelihood in Karnataka And Andhra Pradesh, India",GKF Agroforestry Pvt Ltd,Agriculture Forestry and Other Land Use,ARR,VM0047,Under development,India,160686,Asia,01-08-2021,31-07-2041
5202,MIXED AFFORESTATION IN THE PARANA BASIN III,Cambium Earth SL,Agriculture Forestry and Other Land Use,ARR,VM0047,Under development,Argentina,47151,Latin America,30-06-2023,29-06-2064
5199,Marmota EV Charging Carbon Offset Program (MEVCCOP),Marmota Solutions Incorporated,Energy industries (renewable/non-renewable sources); Transport,,VM0038,Under validation,Canada,38875,North America,22-05-2024,21-05-2031
5194,150 TPD BIODIESEL PROJECT BY CHEMENERGY BIOFUELS(P) LIMITED,Chemenergy Biofuels (P) Limited,Chemical industry; Transport,,ACM0017,Under validation,India,105246,Asia,01-04-2023,31-03-2030
5192,Djibouti Mangrove Restoration Program,ACS (Africa Carbon Solutions) Project Management Services L.L.C,Agriculture Forestry and Other Land Use,ARR; REDD; WRC,VM0033; VM0047,Under development,Djibouti,45694,Africa,,
5191,CATALYZING COMMUNITY RESILIENCE  THROUGH CARBON FINANCE IN  ETHIOPIAN AFROMONTANE FORESTS,Multiple Proponents,Agriculture Forestry and Other Land Use,ARR,VM0047,Under development,Ethiopia,241990,,01-06-2024,31-05-2054
5188,Methane Avoidance in Anaerobic Lagoons Grouped Project,GHG Biotecnologia Ltda.,Waste handling and disposal,,AMS-III.I.,Under development,Brazil,17235,Latin America,01-08-2024,31-07-2034
5186,Quanzhou Canhua PET Recycling Project,"Fujian Province Canhua Enviromental Material Co., Ltd",Waste handling and disposal,,VMR0007,Under validation,China,57183,Asia,15-11-2022,14-11-2032
5187,BaCaSi,TotalEnergies Nature Based Solutions II,Agriculture Forestry and Other Land Use,ARR,VM0047,Under development,Congo,388968,Africa,01-08-2021,31-07-2056
5184,Working Trees- Scaling Brazilian Silvopasture (WT-SBS),Working Trees,Agriculture Forestry and Other Land Use,ARR,VM0047,Under development,Brazil,7025437,Latin America,17-02-2024,16-02-2054
